id,cebuano,tagalog
b.gen.2.3,"Ug gipanalanginan sa Dios ang adlaw nga ikapito, ug nagbalaan niini; tungod kay niini nagpahulay siya gikan sa tanan niyang buhat nga gibuhat ug nahimo sa Dios.","At binasbasan ng Dios ang ikapitong araw at kaniyang ipinangilin, sapagka't siyang ipinagpahinga ng Dios sa madlang gawang kaniyang nilikha at ginawa."
b.gen.2.4,"Kini mao ang mga sinugdan sa mga langit ug sa yuta, sa pagbuhat kanila, sa adlaw nga si Jehova nga Dios naghimo sa yuta ug sa langit.","Ito ang pinangyarihan ng langit at ng lupa, nang likhain noong araw, na gawin ng Panginoong Dios ang lupa't langit."
b.gen.2.5,"Ug wala pay tanum sa kapatagan nga diha sa ibabaw sa yuta, ug wala pay tanum sa kapatagan nga misugod sa pagturok, kay si Jehova nga Dios wala pa magpaulan sa ibabaw sa yuta, ug wala pay tawo nga makauma sa yuta.","At wala pa sa lupang kahoy sa parang, at wala pang anomang pananim na tumutubo sa parang: (sapagka't hindi pa pinauulanan ng Panginoong Dios ang lupa) at wala pang taong magbukid ng lupa,"
b.gen.2.6,Apan dihay misaka nga gabon gikan sa yuta nga nagbubo sa tibook nga nawong sa yuta.,Nguni't may isang ulap na napaitaas buhat sa lupa at dinilig ang buong ibabaw ng lupa.
b.gen.2.7,"Ug giumol ni Jehova nga Dios ang tawo gikan sa abog sa yuta, ug gihuypan niya sa mga buho sa iyang ilong sa gininhawa sa kinabuhi, ug ang tawo nahimong kalag nga may kinabuhi.","At nilalang ng Panginoong Dios ang tao sa alabok ng lupa, at hiningahan ang kaniyang mga butas ng ilong ng hininga ng buhay; at ang tao ay naging kaluluwang may buhay."
b.gen.2.8,Ug si Jehova nga Dios nagbuhat ng usa ka tanaman sa silangan sa Eden ug gibutang niya didto ang tawo nga iyang giumol.,"At naglagay ang Panginoong Dios ng isang halamanan sa Eden, sa dakong silanganan: at inilagay niya roon ang taong kaniyang nilalang."
b.gen.2.9,"Ug nagpaturok si Jehova nga Dios gikan sa yuta sa tanan nga kahoy nga makapahimuot sa igtatan-aw, ug maayo nga kalan-on: ug ang kahoy usab nga sa kinabuhi diha sa taliwala sa tanaman, ug ang kahoy sa pag-ila sa maayo ug sa dautan.","At pinatubo ng Panginoong Dios sa lupa ang lahat na punong kahoy na nakalulugod sa paningin, at mabubuting kanin; gayon din ang punong kahoy ng buhay sa gitna ng halamanan, at ang punong kahoy ng pagkakilala ng mabuti at masama."
b.gen.2.10,Ug migula gikan sa Eden ang usa ka suba sa pagtubig sa tanaman ug gikan didto nabahin kini ug nahimong upat ka mga sanga.,At may isang ilog na lumabas sa Eden na dumilig sa halamanan; at mula roo'y nabahagi at nagapat na sanga.
b.gen.2.11,Ang ngalan sa usa Pison: Kini mao ang nagalikos sa tibook nga yuta sa Habila nga didto adunay bulawan.,"Ang pangalan ng una ay Pison: na siyang lumiligid sa buong lupain ng Havilah, na doo'y may ginto;"
b.gen.2.12,Ug ang bulawan niadtong yutaa maayo: didto usab may bdelio ug onyx nga bato.,At ang ginto sa lupang yao'y mabuti; mayroon din naman doong bedelio at batong onix.
b.gen.2.13,Ug ang ngalan sa ikaduha ka suba Gihon: kini mao ang nagalikos sa tibook nga yuta sa Etiopia.,At ang pangalan ng ikalawang ilog ay Gihon; na siyang lumiligid sa buong lupain ng Cush.
b.gen.2.14,Ug ang ngalan sa ikatolo ka suba Hidekel: kini mao ang nagapadulong ngadto sa atbang sa Asiria. Ug ang ikaupat ka suba mao ang Eufrates.,"At ang pangalan ng ikatlong ilog ay Hiddecel, na siyang umaagos sa tapat ng Asiria. At ang ikaapat na ilog ay ang Eufrates."
b.gen.2.15,"Ug gikuha ni jehova nga Dios ang tawo ug gibutang siya tanaman sa Eden, aron kini iyang atimanon ug bantayan.","At kinuha ng Panginoong Dios ang lalake at inilagay sa halamanan ng Eden, upang kaniyang alagaan at ingatan."
b.gen.2.16,Ug si Jehova nga Dios nagsugo sa tawo nga nagaingon: Makakaon ka sa tanan nga kahoy sa tanaman:,"At iniutos ng Panginoong Dios sa lalake, na sinabi, Sa lahat ng punong kahoy sa halamanan ay makakakain ka na may kalayaan:"
b.gen.2.17,"Apan sa kahoy nga sa pag-ila sa maayo ug sa dautan, dili ka magkaon niini; kay sa adlaw nga mokaon ka niini, mamatay ka gayud.",Datapuwa't sa kahoy ng pagkakilala ng mabuti at masama ay huwag kang kakain; sapagka't sa araw na ikaw ay kumain niyaon ay walang pagsalang mamamatay ka.
b.gen.2.18,Ug miingon si Jehova nga Dios: Dili maayo nga ang tawo mag-inusara; pagabuhatan ko siya ug katabang nga angay kaniya.,"At sinabi ng Panginoong Dios, Hindi mabuti na ang lalake ay magisa; siya'y ilalalang ko ng isang katulong niya."
b.gen.2.19,"Ug giumol ni Jehova nga Dios gikan sa yuta ang tanang mga mananap sa kapatagan, ug ang tanan nga langgam sa kalangitan, ug sila gidala niya kang Adam aron makita niya kong unsaon niya paghingalan kanila: ug ang tanan nga gihinganlan ni Adam sa mga mananap nga buhi, kana mao ang ngalan niini.",At nilalang ng Panginoong Dios sa lupa ang lahat ng hayop sa parang at ang lahat ng ibon sa himpapawid; at pinagdadala sa lalake upang maalaman kung anong itatawag niya sa mga iyon: at ang bawa't itinawag ng lalake sa bawa't kinapal na may buhay ay yaon ang naging pangalan niyaon.
b.gen.2.20,Ug gihatagan ni Adam ug mga ngalan ang tanan nga kahayopan ug ang mga langgam sa kalangitan ug ang tanan nga mga mananap sa kapatagan; apan alang kang Adam walay hingkaplagan nga katabang nga angay kaniya.,"At pinanganlan ng lalake ang lahat ng mga hayop, at ang mga ibon sa himpapawid, at ang bawa't ganid sa parang; datapuwa't sa lalake ay walang nasumpungang maging katulong niya."
b.gen.2.21,Ug gipahinanok ni Jehova nga Dios si Adam ug nahakatulog siya; unya mikuha siya ug usa sa iyang mga gusok ug gitakpan niya ang unod sa dapit niini.,"At hinulugan ng Panginoong Dios ng di kawasang himbing ang lalake, at siya'y natulog: at kinuha ang isa sa kaniyang mga tadyang at pinapaghilom ang laman sa dakong yaon:"
b.gen.2.22,"Ug ang gusok nga gikuha ni Jehova nga Dios gikan sa tawo gibuhat niya nga usa ka babaye, ug iyang gidala siya ngadto sa lalake.","At ang tadyang na kinuha ng Panginoong Dios sa lalake ay ginawang isang babae, at ito'y dinala niya sa lalake."
b.gen.2.23,"Ug miingon si Adam: Kini mao karon ang bukog sa akong mga bukog, ug unod sa akong unod; siya paganganlan nga Babaye, kay gikuha siya gikan sa Lalake.","At sinabi ng lalake, Ito nga'y buto ng aking mga buto at laman ng aking laman: siya'y tatawaging Babae, sapagka't sa Lalake siya kinuha."
b.gen.2.24,"Tungod niini, ang lalake magabiya sa iyang amahan ug sa iyang inahan, ug moipon siya sa iyang asawa, ug sila mahimong usa ka unod.","Kaya't iiwan ng lalake ang kaniyang ama at ang kaniyang ina, at makikipisan sa kaniyang asawa: at sila'y magiging isang laman."
b.gen.2.25,"Ug silang duruha mga hubo, si Adam ug ang iyang asawa, ug sila wala mangaulaw.","At sila'y kapuwa hubad, ang lalake at ang kaniyang asawa, at sila'y hindi nagkakahiyaan."
b.gen.3.1,"Karon, ang bitin malalangon labi pa kay sa ngatanan nga mga mananap sa kapatagan nga gibuhat ni Jehova nga Dios. Ug nag-ingon siya sa babaye: Diay, nag-ingon ang Dios: Dili kamo makakaon sa tanan nga mga kahoy sa tanaman?","Ang ahas nga ay lalong tuso kay sa alin man sa mga hayop sa parang na nilikha ng Panginoong Dios. At sinabi niya sa babae, Tunay bang sinabi ng Dios, Huwag kayong kakain sa alin mang punong kahoy sa halamanan?"
b.gen.3.2,Ug ang babaye mitubag sa bitin: Makakaon kami sa bunga sa mga kahoy sa tanaman:,"At sinabi ng babae sa ahas, Sa bunga ng mga punong kahoy sa halamanan ay makakakain kami:"
b.gen.3.3,"Apan sa bunga sa kahoy nga anaa sa taliwala sa tanaman, miingon ang Dios; Dili kamo magkaon niana, bisan maghikap niana, aron kamo dili mamatay.","Datapuwa't sa bunga ng punong kahoy na nasa gitna ng halamanan ay sinabi ng Dios, Huwag kayong kakain niyaon, ni huwag ninyong hihipuin, baka kayo'y mamatay."
b.gen.3.4,Ug ang bitin miingon sa babaye: Dili gayud kamo mamatay.,"At sinabi ng ahas sa babae, Tunay na hindi kayo mamamatay:"
b.gen.3.5,"Kay hingbaloan sa Dios, nga sa adlaw nga kamo mokaon niini mangabuka ang inyong mga mata, ug mahimo kamo nga sama sa Dios, nga manghibalo sa maayo ug sa dautan.","Sapagka't talastas ng Dios na sa araw na kayo'y kumain niyaon ay madidilat nga ang inyong mga mata, at kayo'y magiging parang Dios, na nakakakilala ng mabuti at masama."
b.gen.3.6,"Ug sa nakita sa babaye nga ang kahoy maayo nga kan-on ug nga kini makalipay sa mga mata, ug nga ang kahoy takus tinguhaon aron makapahimong makinaadmanon sa tawo, mikuha siya sa bunga niini ug mikaon; ug gihatagan usab niya ang iyang bana, kauban niya, ug mikaon siya.","At nang makita ng babae, na ang bunga ng punong kahoy ay mabuting kanin, at nakalulugod sa mga mata, at kahoy na mananasa upang magpapantas sa tao, ay pumitas siya ng bunga niyaon at kinain; at binigyan din niya ang kaniyang asawang kasama niya, at ito'y kumain."
b.gen.3.7,"Ug nangabuka ang mga mata nilang duha, ug sila nanghibalo nga sila mga hubo; ug nanagtahi sila sa mga dahon sa higuera, ug nanagbuhat ug mga tapis alang sa ilang kaugalingon.","At nadilat kapuwa ang kanilang mga mata, at kanilang nakilalang sila'y mga hubad; at sila'y tumahi ng mga dahon ng puno ng igos, at kanilang ginawang panapi."
b.gen.3.8,"Ug hingdunggan nila ang tingog ni Jehova nga Dios nga nagalakaw sa tanaman sa kabugnaw sa adlaw, ug nanagtago ang tawo ug ang iyang asawa gikan sa atubangan ni Jehova nga Dios, sa taliwala sa mga kakahoyan sa tanaman.",At narinig nila ang tinig ng Panginoong Dios na lumalakad sa halamanan sa kulimlim ng araw: at nagtago ang lalake at ang kaniyang asawa sa harapan ng Panginoong Dios sa pagitan ng mga punong kahoy sa halamanan.
b.gen.3.9,"Ug si Jehova nga Dios nagtawag sa tawo, ug nag-ingon kaniya: Hain ka?","At tinawag ng Panginoong Dios ang lalake at sa kaniya'y sinabi, Saan ka naroon?"
b.gen.3.10,"Ug mitubag siya: Hingdunggan ko ang imong tingog sa tanaman, ug nahadlok ako, kay hubo ako, ug mingtago ako.","At sinabi niya, Narinig ko ang iyong tinig sa halamanan, at ako'y natakot, sapagka't ako'y hubad; at ako'y nagtago."
b.gen.3.11,Ug miingon siya: Kinsa ba ang nag-ingon kanimo nga hubo ikaw? Mikaon ka ba sa kahoy nga gisugo ko kanimo nga dili mo pagakan-on?,"At sinabi niya, Sinong nagsabi sa iyong ikaw ay hubad? nakakain ka ba ng bunga ng punong kahoy, na iniutos ko sa iyong huwag mong kanin?"
b.gen.3.12,"Ug ang tawo miingon: Ang babaye nga gihatag mo kanako nga akong igauban, siya naghatag kanako sa kahoy, ug mikaon ako.","At sinabi ng lalake, Ang babaing ibinigay mong aking kasamahin, ay siyang nagbigay sa akin ng bunga ng punong kahoy at aking kinain."
b.gen.3.13,"Ug si Jehova nga Dios nag-ingon sa babaye: Unsa kining imong gibuhat? Ug nag-ingon ang babaye: Ang bitin naglimbong kanako, ug mikaon ako.","At sinabi ng Panginoong Dios sa babae, Ano itong iyong ginawa? At sinabi ng babae, Dinaya ako ng ahas, at ako'y kumain."
b.gen.3.14,"Ug si Jehova nga Dios nag-ingon sa bitin: Tungod kay ikaw nagbuhat niini, tinunglo ikaw labi pa kay sa tanan nga mga kahayopan, ug labaw sa tanan nga mga mananap sa kapatagan; sa imong tiyan magakamang ka, ug magakaon ikaw sa abog sa tanan nga mga adlaw sa imong kinabuhi.","At sinabi ng Panginoong Dios sa ahas, Sapagka't ginawa mo ito, ay sumpain ka ng higit sa lahat ng hayop, at ng higit sa bawa't ganid sa parang; ang iyong tiyan ang ilalakad mo, at alabok ang iyong kakanin sa lahat ng mga araw ng iyong buhay:"
b.gen.3.15,"Ug ibutang ko ang panagkaaway sa taliwala mo ug sa babaye, ug sa taliwala sa imong kaliwat ug sa iyang kaliwat; siya magasamad sa imong ulo, ug ikaw magasamad sa iyang tikod.","At papagaalitin ko ikaw at ang babae, at ang iyong binhi at ang kaniyang binhi: ito ang dudurog ng iyong ulo, at ikaw ang dudurog ng kaniyang sakong."
b.gen.3.16,"Nag-ingon siya sa babaye: Pagadaghanon ko sa hilabihan gayud ang imong mga kasakit ug ang imong mga pagpanamkon; ug sa may kasakit ikaw magapanganak ug mga anak; ug ang imong tinguha mao ang pagpangandoy sa imong bana, ug siya magabuot kanimo.","Sinabi niya sa babae, Pararamihin kong lubha ang iyong kalumbayan at ang iyong paglilihi; manganganak kang may kahirapan; at sa iyong asawa ay pahihinuhod ang iyong kalooban, at siya'y papapanginoon sa iyo."
b.gen.3.17,"Ug miingon siya kang Adam: Tungod kay gipatalinghugan mo ang tingog sa imong asawa, ug nagkaon ka sa kahoy nga gisugo ko kanimo sa pag-ingon: Dili ka magkaon niini: tinunglo ang yuta tungod kanimo; pinaagi sa kahago magakaon ka gikan niini sa tanang mga adlaw sa imong kinabuhi;","At kay Adam ay sinabi, Sapagka't iyong dininig ang tinig ng iyong asawa, at kumain ka ng bunga ng punong kahoy na aking iniutos sa iyo na sinabi, Huwag kang kakain niyaon; sumpain ang lupa dahil sa iyo; kakain ka sa kaniya sa pamamagitan ng iyong pagpapagal sa lahat ng mga araw ng iyong buhay;"
b.gen.3.18,Kini magapaturok usab kanimo ug mga sampinit ug mga kadyapa; ug magakaon ka sa mga hilamon sa kapatagan.,Ang isisibol niyaon sa iyo ay mga tinik at mga dawag; at kakain ka ng pananim sa parang;
b.gen.3.19,"Sa singot sa imong nawong magakaon ikaw sa tinapay, hangtud nga mopauli ka sa yuta; tungod kay gikan niini gikuha ikaw; kay abog ka, ug sa abog ikaw mopauli.","Sa pawis ng iyong mukha ay kakain ka ng tinapay, hanggang sa ikaw ay mauwi sa lupa; sapagka't diyan ka kinuha: sapagka't ikaw ay alabok at sa alabok ka uuwi."
b.gen.3.20,"Ug gihinganlan sa tawo ang ngalan sa iyang asawa si Eva, tungod kay siya mao ang inahan sa ngatanan nga adunay kinabuhi.","At tinawag na Eva ng lalake ang kaniyang asawa, sapagka't siya ang naging ina ng lahat ng mga nabubuhay."
b.gen.3.21,"Ug si Jehova nga Dios nagbuhat alang kang Adam ug sa iyang asawa mga sinina nga panit, ug iyang gibistihan sila.",At iginawa ng Panginoong Dios si Adam at ang kaniyang asawa ng mga kasuutang balat at sila'y dinamitan.
b.gen.3.22,"Ug miingon si Jehova nga Dios, Ania karon, ang tawo nahimo nga ingon nga usa kanato, sa pagkahibalo sa maayo ug sa dautan; ug karon, tingali unya ituy-od niya ang iyang kamot ug mokuha usab sa kahoy sa kinabuhi, ug mokaon, ug mabuhi sa gihapon--","At sinabi ng Panginoong Dios, Narito't ang tao'y naging parang isa sa atin, na nakakakilala ng mabuti at ng masama; at baka ngayo'y iunat ang kaniyang kamay at pumitas naman ng bunga ng punong kahoy ng buhay, at kumain at mabuhay magpakailan man:"
b.gen.3.23,"Tungod niini gihinginlan siya ni Jehova nga Dios gikan sa tanaman sa Eden, aron sa pag-uma sa yuta nga gikuhaan kaniya.","Kaya pinalayas siya ng Panginoong Dios sa halamanan ng Eden, upang kaniyang bukirin ang lupaing pinagkunan sa kaniya."
b.gen.3.24,"Busa gipapahawa niya ang tawo, ug gibutang niya sa may silangan sa tanaman sa Eden ang mga querubin, ug ang siga sa usa ka espada nga nagalisoliso, aron sa pagbantay sa dalan sa kahoy sa kinabuhi.","Ano pa't itinaboy ang lalake; at inilagay sa silanganan ng halamanan ng Eden ang mga Querubin at ang isang nagniningas na tabak na umiikot, upang ingatan ang daang patungo sa kahoy ng buhay."
b.gen.4.1,"Ang tawo miila kang Eva nga iyang asawa; ug kini nanamkon ug nag-anak kang Cain, ug miingon: Nakabaton ako ug usa ka lalake tungod sa panabang ni Jehova.","At nakilala ng lalake si Eva na kaniyang asawa; at siya'y naglihi at ipinanganak si Cain, at sinabi, Nagkaanak ako ng lalake sa tulong ng Panginoon."
b.gen.4.2,Ug unya usab nag-anak siya kang Abel nga iyang igsoon. Ug si Abel magbalantay sa mga carnero; apan si Cain mag-uuma sa yuta.,At sa muli ay ipinanganak ang kaniyang kapatid na si Abel. At si Abel ay tagapagalaga ng mga tupa; datapuwa't si Cain ay mangbubukid ng lupa.
